year,prosecutions-appeals,infringements-total,failure-bylaw,failure-control,failure-disqualification,failure-menacing,failure-register,obstruction-officer
2025,141,17430,4008,2064,56,514,10149,19
2024,117,6387,2031,1394,27,250,2305,11
2023,121,4748,1437,1337,9,256,1490,8
2022,117,3271,1105,1128,4,76,763,7
2021,134,5126,1415,1302,6,234,1903,21
2020,161,3480,1011,980,8,157,1138,13
2019,220,5172,1557,1076,4,217,2028,21
2018,237,5817,672,1934,6,241,2534,31
2017,217,5098,275,2002,1,220,2109,23
2016,197,3835,264,1386,1,135,1496,25
2015,137,4521,489,628,0,205,2200,42
2014,210,5638,1496,455,0,190,3203,41
